,VEIC,DTHR,COD_LINHA,coords,nearest,idx,distances
695986,BL300,2023-05-02 23:59:56-03:00,022,"(-25.421525, -49.240296)","[-25.421686145689602, -49.24057063402205]",0.06948640483383686,32.89436953991033
695987,BL300,2023-05-02 23:59:51-03:00,022,"(-25.420895, -49.239836)","[-25.420746519209974, -49.23986580699329]",0.06646525679758308,16.719688301673408
695988,BL300,2023-05-02 23:59:31-03:00,022,"(-25.418633, -49.240635)","[-25.41861639789129, -49.24072262676225]",0.054380664652567974,9.005525453477079
695989,BL300,2023-05-02 23:59:26-03:00,022,"(-25.418211, -49.240866)","[-25.418282708993495, -49.24093192360533]",0.05236656596173213,10.348535522794466
695990,BL300,2023-05-02 23:59:16-03:00,022,"(-25.417961, -49.241681)","[-25.417923348461457, -49.241491922160776]",0.050352467270896276,19.47426809949521
695991,BL300,2023-05-02 23:58:56-03:00,022,"(-25.417826, -49.24342)","[-25.417754687500935, -49.24351890043005]",0.04632426988922457,12.704768821422089
695992,BL300,2023-05-02 23:58:21-03:00,022,"(-25.417501, -49.247065)","[-25.417431241201694, -49.24726893495102]",0.04229607250755287,21.924243026338342
695993,BL300,2023-05-02 23:58:16-03:00,022,"(-25.41747, -49.247565)","[-25.417431241201694, -49.24726893495102]",0.04229607250755287,30.09389452016386
695994,BL300,2023-05-02 23:58:11-03:00,022,"(-25.417373, -49.247895)","[-25.417374144323908, -49.24792591428877]",0.041289023162134945,3.112757568560759
695995,BL300,2023-05-02 23:57:46-03:00,022,"(-25.417141, -49.247933)","[-25.417374144323908, -49.24792591428877]",0.041289023162134945,25.83736310724831
695996,BL300,2023-05-02 23:57:36-03:00,022,"(-25.416835, -49.24789)","[-25.416757252819757, -49.24787698704283]",0.04028197381671702,8.71169943247114
695997,BL300,2023-05-02 23:57:26-03:00,022,"(-25.416055, -49.247805)","[-25.41603376681692, -49.24782101899825]",0.038267875125881166,2.8513451227797377
695998,BL300,2023-05-02 23:57:21-03:00,022,"(-25.415541, -49.247763)","[-25.41534601425269, -49.24774325800543]",0.03625377643504532,21.69147325456608
695999,BL300,2023-05-02 23:57:16-03:00,022,"(-25.41504, -49.247716)","[-25.41503014977287, -49.247708065546355]",0.035246727089627394,1.3520186623633754
